time_stamp,acc_x,acc_y,acc_z
0.0,-16128.0,-3264.0,-448.0
0.0025,-16128.0,-3200.0,-448.0
0.005,-16192.0,-3200.0,-448.0
0.0075,-16192.0,-3264.0,-448.0
0.01,-16192.0,-3328.0,-448.0
0.0125,-16192.0,-3328.0,-448.0
0.015,-16256.0,-3328.0,-448.0
0.0175,-16192.0,-3328.0,-448.0
0.02,-16192.0,-3328.0,-448.0
0.0225,-16256.0,-3264.0,-448.0
0.025,-16256.0,-3200.0,-448.0
0.0275,-16192.0,-3200.0,-448.0
0.03,-16320.0,-3264.0,-512.0
0.0325,-16320.0,-3264.0,-512.0
0.035,-16320.0,-3264.0,-512.0
0.0375,-16320.0,-3264.0,-448.0
0.04,-16320.0,-3136.0,-448.0
0.0425,-16384.0,-3200.0,-512.0
0.045,-16384.0,-3200.0,-512.0
0.0475,-16384.0,-3200.0,-512.0
0.05,-16448.0,-3200.0,-576.0
0.0525,-16384.0,-3200.0,-576.0
0.055,-16448.0,-3200.0,-576.0
0.0575,-16576.0,-3264.0,-448.0
0.06,-16512.0,-3264.0,-512.0
0.0625,-16512.0,-3328.0,-448.0
0.065,-16448.0,-3328.0,-448.0
0.0675,-16512.0,-3328.0,-448.0
0.07,-16448.0,-3200.0,-448.0
0.0725,-16512.0,-3200.0,-448.0
0.075,-16512.0,-3200.0,-384.0
0.0775,-16448.0,-3200.0,-384.0
0.08,-16448.0,-3200.0,-384.0
0.0825,-16448.0,-3136.0,-384.0
0.085,-16448.0,-3200.0,-448.0
0.0875,-16448.0,-3200.0,-448.0
0.09,-16448.0,-3200.0,-512.0
0.0925,-16448.0,-3136.0,-448.0
0.095,-16448.0,-3136.0,-512.0
0.0975,-16384.0,-3200.0,-512.0
0.1,-16320.0,-3200.0,-448.0
0.1025,-16384.0,-3200.0,-448.0
0.105,-16384.0,-3200.0,-448.0
0.1075,-16256.0,-3136.0,-448.0
0.11,-16384.0,-3136.0,-384.0
0.1125,-16320.0,-3200.0,-384.0
0.115,-16320.0,-3200.0,-320.0
0.1175,-16384.0,-3200.0,-448.0
0.12,-16384.0,-3136.0,-512.0
0.1225,-16384.0,-3072.0,-448.0
0.125,-16384.0,-3072.0,-512.0
0.1275,-16384.0,-3136.0,-512.0
0.13,-16384.0,-3136.0,-448.0
0.1325,-16320.0,-3136.0,-448.0
0.135,-16320.0,-3136.0,-448.0
0.1375,-16256.0,-3200.0,-512.0
0.14,-16320.0,-3136.0,-512.0
0.1425,-16384.0,-3200.0,-384.0
0.145,-16384.0,-3136.0,-320.0
0.1475,-16320.0,-3136.0,-256.0
0.15,-16192.0,-3136.0,-256.0
0.1525,-16192.0,-3136.0,-256.0
0.155,-16192.0,-3136.0,-192.0
0.1575,-16192.0,-3136.0,-192.0
0.16,-16320.0,-3136.0,-192.0
