time_stamp,acc_x,acc_y,acc_z
0.0,-15744.0,-3264.0,4096.0
0.0025,-15744.0,-3264.0,4032.0
0.005,-15744.0,-3200.0,4032.0
0.0075,-15680.0,-3200.0,4032.0
0.01,-15744.0,-3328.0,4160.0
0.0125,-15744.0,-3264.0,4096.0
0.015,-15808.0,-3200.0,4032.0
0.0175,-15808.0,-3264.0,4032.0
0.02,-15744.0,-3200.0,4096.0
0.0225,-15808.0,-3200.0,4096.0
0.025,-15744.0,-3200.0,4032.0
0.0275,-15744.0,-3136.0,3968.0
0.03,-15744.0,-3200.0,3968.0
0.0325,-15808.0,-3200.0,4096.0
0.035,-15808.0,-3200.0,4096.0
0.0375,-15744.0,-3264.0,4032.0
0.04,-15744.0,-3200.0,4032.0
0.0425,-15744.0,-3200.0,4032.0
0.045,-15808.0,-3200.0,4032.0
0.0475,-15744.0,-3200.0,4032.0
0.05,-15744.0,-3200.0,4032.0
0.0525,-15744.0,-3200.0,4032.0
0.055,-15744.0,-3200.0,4096.0
0.0575,-15744.0,-3200.0,4096.0
0.06,-15744.0,-3200.0,4032.0
0.0625,-15680.0,-3136.0,4032.0
0.065,-15744.0,-3264.0,3968.0
0.0675,-15680.0,-3200.0,4032.0
0.07,-15616.0,-3200.0,4032.0
0.0725,-15616.0,-3200.0,4032.0
0.075,-15616.0,-3264.0,4096.0
0.0775,-15680.0,-3264.0,4032.0
0.08,-15744.0,-3328.0,4096.0
0.0825,-15744.0,-3264.0,4096.0
0.085,-15680.0,-3264.0,4032.0
0.0875,-15616.0,-3264.0,3968.0
0.09,-15616.0,-3264.0,3968.0
0.0925,-15680.0,-3200.0,4096.0
0.095,-15680.0,-3200.0,4096.0
0.0975,-15616.0,-3200.0,3968.0
0.1,-15616.0,-3200.0,3968.0
0.1025,-15616.0,-3200.0,3968.0
0.105,-15616.0,-3264.0,4032.0
0.1075,-15680.0,-3264.0,3968.0
0.11,-15744.0,-3200.0,3968.0
0.1125,-15744.0,-3072.0,4032.0
0.115,-15744.0,-3136.0,4032.0
0.1175,-15808.0,-3136.0,4032.0
0.12,-15744.0,-3200.0,4032.0
0.1225,-15744.0,-3200.0,3968.0
0.125,-15808.0,-3200.0,4032.0
0.1275,-15808.0,-3200.0,3968.0
0.13,-15808.0,-3200.0,3968.0
0.1325,-15808.0,-3200.0,3968.0
0.135,-15808.0,-3200.0,3968.0
0.1375,-15872.0,-3200.0,4032.0
0.14,-15808.0,-3200.0,3904.0
0.1425,-15808.0,-3200.0,3968.0
0.145,-15808.0,-3200.0,3968.0
0.1475,-15808.0,-3200.0,4032.0
0.15,-15872.0,-3264.0,3968.0
0.1525,-15872.0,-3200.0,3968.0
0.155,-15872.0,-3264.0,4032.0
0.1575,-15936.0,-3328.0,4032.0
0.16,-16000.0,-3328.0,4160.0
0.1625,-16064.0,-3392.0,4160.0
0.165,-16000.0,-3328.0,3968.0
0.1675,-16064.0,-3328.0,3968.0
0.17,-16064.0,-3328.0,4032.0
0.1725,-16064.0,-3328.0,4096.0
0.175,-16000.0,-3264.0,4032.0
0.1775,-16000.0,-3200.0,4032.0
0.18,-15936.0,-3264.0,4096.0
0.1825,-15936.0,-3264.0,4224.0
0.185,-15936.0,-3200.0,4160.0
0.1875,-15872.0,-3200.0,4032.0
0.19,-15808.0,-3264.0,4160.0
0.1925,-15872.0,-3264.0,4160.0
0.195,-15872.0,-3200.0,4160.0
0.1975,-15808.0,-3200.0,4096.0
0.2,-15808.0,-3200.0,4160.0
0.2025,-15808.0,-3200.0,4160.0
0.205,-15808.0,-3264.0,4160.0
0.2075,-15808.0,-3200.0,4096.0
0.21,-15808.0,-3136.0,4096.0
0.2125,-15744.0,-3200.0,4096.0
0.215,-15744.0,-3200.0,4096.0
0.2175,-15744.0,-3200.0,4032.0
0.22,-15680.0,-3200.0,4032.0
0.2225,-15680.0,-3200.0,4096.0
0.225,-15680.0,-3200.0,4096.0
0.2275,-15680.0,-3200.0,4096.0
0.23,-15680.0,-3136.0,4096.0
0.2325,-15616.0,-3136.0,4096.0
0.235,-15616.0,-3072.0,4096.0
0.2375,-15680.0,-3072.0,4096.0
0.24,-15680.0,-3136.0,4032.0
0.2425,-15680.0,-3200.0,4096.0
0.245,-15680.0,-3136.0,4160.0
0.2475,-15680.0,-3136.0,4160.0
0.25,-15616.0,-3072.0,4032.0
0.2525,-15680.0,-3136.0,4032.0
0.255,-15680.0,-3136.0,4160.0
0.2575,-15680.0,-3136.0,4160.0
0.26,-15680.0,-3136.0,4224.0
0.2625,-15616.0,-3200.0,4224.0
0.265,-15616.0,-3136.0,4160.0
0.2675,-15680.0,-3136.0,4288.0
0.27,-15680.0,-3200.0,4224.0
0.2725,-15744.0,-3200.0,4288.0
0.275,-15744.0,-3200.0,4224.0
0.2775,-15808.0,-3136.0,4160.0
0.28,-15744.0,-3136.0,4160.0
0.2825,-15744.0,-3200.0,4096.0
0.285,-15744.0,-3136.0,4160.0
0.2875,-15744.0,-3136.0,4160.0
0.29,-15744.0,-3200.0,4160.0
0.2925,-15808.0,-3200.0,4160.0
0.295,-15872.0,-3200.0,4160.0
0.2975,-15936.0,-3200.0,4160.0
0.3,-15872.0,-3136.0,4224.0
0.3025,-15872.0,-3136.0,4160.0
0.305,-15872.0,-3136.0,4096.0
0.3075,-15872.0,-3136.0,4096.0
0.31,-15872.0,-3136.0,4160.0
0.3125,-15936.0,-3136.0,4096.0
0.315,-15936.0,-3200.0,4096.0
0.3175,-15872.0,-3136.0,4096.0
0.32,-15936.0,-3200.0,4096.0
0.3225,-16000.0,-3200.0,4096.0
0.325,-15872.0,-3136.0,4032.0
0.3275,-15936.0,-3136.0,4032.0
0.33,-16000.0,-3136.0,4032.0
0.3325,-16000.0,-3200.0,4160.0
0.335,-16000.0,-3200.0,4224.0
0.3375,-15936.0,-3200.0,4032.0
0.34,-15872.0,-3264.0,4032.0
0.3425,-16000.0,-3264.0,4224.0
0.345,-15936.0,-3264.0,4224.0
0.3475,-16000.0,-3264.0,4224.0
0.35,-16000.0,-3200.0,4160.0
0.3525,-16000.0,-3200.0,4096.0
0.355,-15936.0,-3264.0,4096.0
0.3575,-16000.0,-3264.0,4096.0
0.36,-16000.0,-3200.0,4160.0
0.3625,-16000.0,-3264.0,4160.0
0.365,-16000.0,-3200.0,4224.0
0.3675,-16000.0,-3200.0,4224.0
0.37,-15936.0,-3264.0,4160.0
0.3725,-15936.0,-3200.0,4160.0
0.375,-15936.0,-3200.0,4224.0
0.3775,-15936.0,-3200.0,4224.0
0.38,-15872.0,-3200.0,4224.0
0.3825,-15936.0,-3136.0,4224.0
0.385,-15936.0,-3200.0,4160.0
0.3875,-15936.0,-3200.0,4160.0
0.39,-15872.0,-3200.0,4224.0
0.3925,-15872.0,-3200.0,4224.0
0.395,-15872.0,-3264.0,4160.0
0.3975,-15808.0,-3200.0,4160.0
0.4,-15936.0,-3264.0,4160.0
0.4025,-15936.0,-3072.0,4160.0
0.405,-15872.0,-3136.0,4224.0
0.4075,-15872.0,-3136.0,4224.0
0.41,-15744.0,-3136.0,4032.0
0.4125,-15744.0,-3136.0,4096.0
0.415,-15872.0,-3136.0,4160.0
0.4175,-15808.0,-3200.0,4288.0
0.42,-15808.0,-3136.0,4224.0
0.4225,-15744.0,-3072.0,4096.0
0.425,-15808.0,-3072.0,4096.0
0.4275,-15744.0,-3136.0,4096.0
0.43,-15808.0,-3136.0,4160.0
0.4325,-15808.0,-3136.0,4160.0
0.435,-15808.0,-3136.0,4160.0
0.4375,-15808.0,-3136.0,4160.0
0.44,-15744.0,-3136.0,4160.0
0.4425,-15744.0,-3136.0,4160.0
0.445,-15744.0,-3136.0,4160.0
0.4475,-15808.0,-3136.0,4160.0
0.45,-15744.0,-3136.0,4160.0
0.4525,-15744.0,-3072.0,4160.0
0.455,-15744.0,-3136.0,4160.0
0.4575,-15744.0,-3136.0,4096.0
0.46,-15744.0,-3136.0,4096.0
0.4625,-15808.0,-3136.0,4160.0
0.465,-15808.0,-3136.0,4096.0
0.4675,-15808.0,-3136.0,4096.0
0.47,-15808.0,-3136.0,4224.0
0.4725,-15744.0,-3200.0,4224.0
0.475,-15808.0,-3136.0,4160.0
0.4775,-15808.0,-3200.0,4160.0
0.48,-15808.0,-3200.0,4096.0
0.4825,-15808.0,-3136.0,4032.0
0.485,-15872.0,-3200.0,4224.0
0.4875,-15872.0,-3200.0,4160.0
0.49,-15872.0,-3072.0,4160.0
0.4925,-15808.0,-3072.0,4096.0
0.495,-15808.0,-3136.0,4160.0
0.4975,-15872.0,-3200.0,4224.0
0.5,-15872.0,-3200.0,4224.0
0.5025,-15872.0,-3200.0,4096.0
0.505,-15872.0,-3200.0,4096.0
0.5075,-15808.0,-3200.0,4160.0
0.51,-15808.0,-3072.0,4160.0
0.5125,-15808.0,-3136.0,4160.0
0.515,-15808.0,-3072.0,4160.0
0.5175,-15808.0,-3072.0,4160.0
0.52,-15808.0,-3136.0,4160.0
0.5225,-15808.0,-3072.0,4032.0
0.525,-15872.0,-3136.0,4096.0
0.5275,-15808.0,-3136.0,4160.0
0.53,-15872.0,-3200.0,4096.0
0.5325,-15872.0,-3200.0,4096.0
0.535,-15808.0,-3200.0,4032.0
0.5375,-15744.0,-3200.0,4096.0
0.54,-15808.0,-3136.0,4032.0
0.5425,-15808.0,-3136.0,4032.0
0.545,-15808.0,-3200.0,4032.0
0.5475,-15808.0,-3200.0,4032.0
0.55,-15872.0,-3200.0,4096.0
0.5525,-15808.0,-3200.0,4032.0
0.555,-15808.0,-3200.0,4032.0
0.5575,-15808.0,-3200.0,4032.0
0.56,-15872.0,-3264.0,4160.0
0.5625,-15936.0,-3200.0,4160.0
0.565,-15808.0,-3264.0,4032.0
0.5675,-15808.0,-3200.0,3968.0
0.57,-15808.0,-3200.0,4032.0
0.5725,-15808.0,-3264.0,4096.0
0.575,-15808.0,-3264.0,4160.0
0.5775,-15808.0,-3200.0,4096.0
0.58,-15744.0,-3136.0,3968.0
0.5825,-15808.0,-3200.0,3968.0
0.585,-15808.0,-3264.0,4032.0
0.5875,-15744.0,-3136.0,4032.0
0.59,-15744.0,-3136.0,4032.0
0.5925,-15808.0,-3136.0,4032.0
0.595,-15744.0,-3136.0,4032.0
0.5975,-15744.0,-3136.0,4032.0
0.6,-15808.0,-3136.0,3968.0
0.6025,-15872.0,-3136.0,3968.0
0.605,-15872.0,-3136.0,3968.0
0.6075,-15808.0,-3200.0,4032.0
0.61,-15872.0,-3200.0,4032.0
0.6125,-15872.0,-3264.0,4032.0
0.615,-15936.0,-3264.0,4032.0
0.6175,-15936.0,-3200.0,3968.0
0.62,-15936.0,-3136.0,3968.0
0.6225,-15936.0,-3200.0,3904.0
0.625,-15936.0,-3200.0,3904.0
0.6275,-15936.0,-3200.0,3968.0
0.63,-15936.0,-3136.0,3968.0
0.6325,-16000.0,-3136.0,3968.0
0.635,-16000.0,-3200.0,3904.0
0.6375,-15936.0,-3136.0,3904.0
0.64,-16128.0,-3264.0,3904.0
0.6425,-16064.0,-3200.0,3968.0
0.645,-16000.0,-3328.0,3968.0
0.6475,-15936.0,-3200.0,3904.0
0.65,-15936.0,-3264.0,3904.0
0.6525,-16000.0,-3264.0,3968.0
0.655,-16000.0,-3328.0,4096.0
0.6575,-15936.0,-3264.0,3968.0
0.66,-15936.0,-3264.0,3904.0
0.6625,-15936.0,-3200.0,4032.0
0.665,-15872.0,-3200.0,4032.0
0.6675,-15872.0,-3200.0,4096.0
0.67,-15872.0,-3200.0,4032.0
0.6725,-15872.0,-3200.0,4032.0
0.675,-15808.0,-3200.0,4032.0
0.6775,-15808.0,-3200.0,4096.0
0.68,-15808.0,-3200.0,4032.0
0.6825,-15872.0,-3200.0,4032.0
0.685,-15872.0,-3200.0,4032.0
0.6875,-15872.0,-3200.0,4032.0
0.69,-15808.0,-3200.0,4032.0
0.6925,-15808.0,-3136.0,3968.0
0.695,-15808.0,-3200.0,3904.0
0.6975,-15808.0,-3264.0,3904.0
0.7,-15744.0,-3264.0,3904.0
0.7025,-15680.0,-3200.0,3904.0
0.705,-15744.0,-3200.0,3904.0
0.7075,-15744.0,-3136.0,3904.0
0.71,-15680.0,-3136.0,3904.0
0.7125,-15680.0,-3200.0,3904.0
0.715,-15680.0,-3136.0,3840.0
0.7175,-15680.0,-3136.0,3904.0
0.72,-15680.0,-3136.0,4032.0
0.7225,-15680.0,-3136.0,4160.0
0.725,-15616.0,-3136.0,4032.0
0.7275,-15616.0,-3200.0,3904.0
0.73,-15680.0,-3136.0,3968.0
0.7325,-15744.0,-3200.0,4032.0
0.735,-15744.0,-3200.0,3968.0
0.7375,-15680.0,-3136.0,3904.0
0.74,-15680.0,-3200.0,3904.0
0.7425,-15744.0,-3264.0,3968.0
0.745,-15680.0,-3264.0,4032.0
0.7475,-15680.0,-3200.0,3968.0
0.75,-15680.0,-3200.0,3968.0
0.7525,-15680.0,-3200.0,4032.0
0.755,-15808.0,-3200.0,4032.0
0.7575,-15808.0,-3200.0,3968.0
0.76,-15808.0,-3200.0,3968.0
0.7625,-15808.0,-3200.0,4032.0
0.765,-15872.0,-3200.0,4032.0
0.7675,-15808.0,-3200.0,3968.0
0.77,-15872.0,-3136.0,3968.0
0.7725,-15872.0,-3136.0,3968.0
0.775,-15872.0,-3200.0,3968.0
0.7775,-15936.0,-3200.0,3968.0
0.78,-15872.0,-3200.0,3968.0
0.7825,-15872.0,-3136.0,3968.0
0.785,-15936.0,-3264.0,3904.0
0.7875,-15872.0,-3200.0,3968.0
0.79,-15872.0,-3200.0,3904.0
0.7925,-15872.0,-3136.0,3904.0
0.795,-15872.0,-3200.0,3968.0
0.7975,-15936.0,-3200.0,3968.0
0.8,-15936.0,-3200.0,4032.0
0.8025,-16064.0,-3264.0,3968.0
0.805,-16000.0,-3264.0,4032.0
0.8075,-15936.0,-3136.0,3904.0
0.81,-15936.0,-3200.0,3968.0
0.8125,-15936.0,-3200.0,4032.0
0.815,-15936.0,-3264.0,4032.0
0.8175,-16000.0,-3200.0,3968.0
0.82,-15936.0,-3264.0,3904.0
0.8225,-15936.0,-3200.0,3904.0
0.825,-15936.0,-3264.0,4032.0
0.8275,-15936.0,-3200.0,3968.0
0.83,-15936.0,-3200.0,3968.0
0.8325,-16000.0,-3264.0,4032.0
0.835,-15936.0,-3264.0,4032.0
0.8375,-15872.0,-3200.0,4032.0
0.84,-15872.0,-3264.0,3968.0
0.8425,-15872.0,-3200.0,3968.0
0.845,-15872.0,-3264.0,3968.0
0.8475,-15808.0,-3200.0,4032.0
0.85,-15808.0,-3200.0,3968.0
0.8525,-15808.0,-3200.0,4032.0
0.855,-15808.0,-3264.0,4032.0
0.8575,-15744.0,-3200.0,4096.0
0.86,-15744.0,-3200.0,4032.0
0.8625,-15744.0,-3200.0,3968.0
0.865,-15808.0,-3200.0,3968.0
0.8675,-15808.0,-3264.0,3968.0
0.87,-15808.0,-3200.0,3968.0
0.8725,-15808.0,-3200.0,3968.0
0.875,-15808.0,-3200.0,4032.0
0.8775,-15808.0,-3200.0,4096.0
0.88,-15872.0,-3264.0,4032.0
0.8825,-15808.0,-3200.0,4096.0
0.885,-15744.0,-3136.0,3968.0
0.8875,-15744.0,-3136.0,3904.0
0.89,-15744.0,-3200.0,3904.0
0.8925,-15808.0,-3200.0,4096.0
0.895,-15808.0,-3200.0,4096.0
0.8975,-15808.0,-3136.0,4096.0
0.9,-15744.0,-3072.0,4032.0
0.9025,-15808.0,-3200.0,4032.0
0.905,-15808.0,-3200.0,4032.0
0.9075,-15808.0,-3072.0,3968.0
0.91,-15872.0,-3136.0,4032.0
0.9125,-15808.0,-3136.0,4032.0
0.915,-15808.0,-3136.0,4032.0
0.9175,-15808.0,-3200.0,4032.0
0.92,-15808.0,-3136.0,4160.0
0.9225,-15808.0,-3072.0,4096.0
0.925,-15808.0,-3136.0,4096.0
0.9275,-15808.0,-3136.0,4096.0
0.93,-15808.0,-3136.0,4096.0
0.9325,-15808.0,-3136.0,4096.0
0.935,-15808.0,-3072.0,4032.0
0.9375,-15808.0,-3072.0,4032.0
0.94,-15744.0,-3136.0,4096.0
0.9425,-15744.0,-3136.0,4096.0
0.945,-15808.0,-3136.0,4160.0
0.9475,-15808.0,-3136.0,4096.0
0.95,-15808.0,-3136.0,4032.0
0.9525,-15808.0,-3136.0,3968.0
0.955,-15808.0,-3072.0,3968.0
0.9575,-15808.0,-3136.0,3968.0
0.96,-15872.0,-3136.0,3968.0
0.9625,-15936.0,-3200.0,4032.0
0.965,-15936.0,-3200.0,4096.0
0.9675,-15872.0,-3200.0,4160.0
0.97,-15872.0,-3136.0,4032.0
0.9725,-15808.0,-3136.0,3968.0
0.975,-15872.0,-3136.0,4096.0
0.9775,-15872.0,-3200.0,4160.0
0.98,-15872.0,-3200.0,4096.0
0.9825,-15872.0,-3200.0,4096.0
0.985,-15808.0,-3200.0,3968.0
0.9875,-15744.0,-3200.0,3968.0
0.99,-15808.0,-3136.0,4032.0
0.9925,-15808.0,-3200.0,4096.0
0.995,-15808.0,-3200.0,4032.0
0.9975,-15872.0,-3200.0,4032.0
1.0,-15872.0,-3136.0,4096.0
1.0025,-15872.0,-3136.0,4032.0
1.005,-15872.0,-3072.0,4032.0
1.0075,-15872.0,-3136.0,4032.0
1.01,-15808.0,-3200.0,4032.0
1.0125,-15808.0,-3200.0,4096.0
1.015,-15872.0,-3200.0,4032.0
1.0175,-15808.0,-3136.0,4032.0
1.02,-15808.0,-3200.0,4032.0
1.0225,-15808.0,-3200.0,4032.0
1.025,-15808.0,-3136.0,4032.0
1.0275,-15808.0,-3136.0,4096.0
1.03,-15808.0,-3200.0,4096.0
1.0325,-15744.0,-3264.0,4032.0
1.035,-15744.0,-3264.0,4032.0
1.0375,-15808.0,-3200.0,4032.0
1.04,-15808.0,-3136.0,4032.0
1.0425,-15808.0,-3200.0,4096.0
1.045,-15808.0,-3136.0,4032.0
1.0475,-15744.0,-3200.0,4032.0
1.05,-15744.0,-3136.0,3968.0
1.0525,-15744.0,-3136.0,4032.0
1.055,-15744.0,-3136.0,3904.0
1.0575,-15680.0,-3072.0,3904.0
1.06,-15744.0,-3136.0,3968.0
1.0625,-15808.0,-3200.0,4096.0
1.065,-15808.0,-3200.0,4096.0
1.0675,-15808.0,-3200.0,4160.0
1.07,-15872.0,-3200.0,4224.0
1.0725,-15808.0,-3200.0,4160.0
1.075,-15808.0,-3200.0,4160.0
1.0775,-15744.0,-3264.0,4160.0
1.08,-15808.0,-3264.0,4096.0
1.0825,-15744.0,-3200.0,4096.0
1.085,-15808.0,-3200.0,4032.0
1.0875,-15808.0,-3200.0,4032.0
1.09,-15872.0,-3136.0,4032.0
1.0925,-15872.0,-3200.0,3968.0
1.095,-15808.0,-3264.0,3968.0
1.0975,-15872.0,-3200.0,3968.0
1.1,-15872.0,-3264.0,4032.0
1.1025,-15872.0,-3200.0,3968.0
1.105,-15936.0,-3200.0,4032.0
1.1075,-15936.0,-3136.0,3968.0
1.11,-15872.0,-3200.0,4032.0
1.1125,-15936.0,-3200.0,3968.0
1.115,-15936.0,-3200.0,3968.0
1.1175,-16000.0,-3200.0,3904.0
1.12,-16000.0,-3264.0,4032.0
1.1225,-15936.0,-3200.0,4032.0
1.125,-15936.0,-3136.0,3840.0
1.1275,-16000.0,-3136.0,3840.0
1.13,-16000.0,-3200.0,3904.0
1.1325,-16064.0,-3200.0,4032.0
1.135,-16000.0,-3200.0,4032.0
1.1375,-15936.0,-3200.0,3968.0
1.14,-15936.0,-3200.0,3968.0
1.1425,-15936.0,-3200.0,4032.0
1.145,-16000.0,-3264.0,4096.0
1.1475,-15936.0,-3264.0,4096.0
1.15,-15872.0,-3264.0,4096.0
1.1525,-15936.0,-3200.0,4032.0
1.155,-15936.0,-3264.0,4096.0
1.1575,-15872.0,-3264.0,3968.0
1.16,-15872.0,-3264.0,4032.0
1.1625,-15872.0,-3200.0,4032.0
1.165,-15808.0,-3264.0,3968.0
1.1675,-15744.0,-3264.0,3968.0
1.17,-15808.0,-3264.0,3904.0
1.1725,-15808.0,-3200.0,3968.0
