time_stamp,acc_x,acc_y,acc_z
0.0,-14784.0,-7168.0,-256.0
0.0025,-14848.0,-7104.0,-192.0
0.005,-14848.0,-7168.0,-192.0
0.0075,-14848.0,-7104.0,-128.0
0.01,-14912.0,-7104.0,-192.0
0.0125,-14848.0,-7168.0,-128.0
0.015,-14848.0,-7168.0,-128.0
0.0175,-14784.0,-7104.0,-128.0
0.02,-14848.0,-7104.0,-64.0
0.0225,-14912.0,-7104.0,-64.0
0.025,-14848.0,-7040.0,-64.0
0.0275,-14912.0,-7040.0,-64.0
0.03,-14912.0,-7104.0,-64.0
0.0325,-14912.0,-7104.0,-64.0
0.035,-14848.0,-7104.0,-64.0
0.0375,-14912.0,-7104.0,-128.0
0.04,-14912.0,-7104.0,-128.0
0.0425,-14912.0,-7040.0,-128.0
0.045,-14912.0,-7040.0,-64.0
0.0475,-14976.0,-7040.0,-128.0
0.05,-14912.0,-7104.0,-128.0
0.0525,-14912.0,-7104.0,-64.0
0.055,-14976.0,-7104.0,0.0
0.0575,-14976.0,-7104.0,-64.0
0.06,-14976.0,-7040.0,-128.0
0.0625,-14976.0,-7040.0,-128.0
0.065,-15040.0,-7040.0,-128.0
0.0675,-15040.0,-7104.0,-64.0
0.07,-14976.0,-7040.0,-64.0
0.0725,-15040.0,-7040.0,-64.0
0.075,-15040.0,-6976.0,-64.0
0.0775,-15040.0,-6976.0,0.0
0.08,-15104.0,-6976.0,-64.0
0.0825,-15040.0,-6976.0,-64.0
0.085,-15040.0,-7040.0,-64.0
0.0875,-15104.0,-6976.0,-64.0
0.09,-15040.0,-6976.0,-128.0
0.0925,-15104.0,-6912.0,-64.0
0.095,-15040.0,-6912.0,-64.0
0.0975,-15040.0,-6976.0,-64.0
0.1,-15040.0,-6912.0,-64.0
0.1025,-15040.0,-6912.0,-128.0
0.105,-15040.0,-6976.0,-64.0
0.1075,-15040.0,-6976.0,-64.0
0.11,-15040.0,-6976.0,-64.0
0.1125,-15040.0,-6976.0,-64.0
0.115,-14976.0,-6976.0,-64.0
0.1175,-14976.0,-6976.0,0.0
0.12,-14976.0,-6912.0,0.0
0.1225,-14976.0,-6912.0,-64.0
0.125,-14976.0,-6848.0,0.0
0.1275,-14912.0,-6912.0,-64.0
0.13,-14912.0,-6848.0,-64.0
0.1325,-14912.0,-6912.0,-64.0
0.135,-14912.0,-6848.0,0.0
0.1375,-14848.0,-6848.0,0.0
0.14,-14912.0,-6848.0,0.0
0.1425,-14976.0,-6848.0,-64.0
0.145,-14976.0,-6784.0,-64.0
0.1475,-14976.0,-6784.0,-64.0
0.15,-14976.0,-6720.0,-128.0
0.1525,-15040.0,-6720.0,-64.0
0.155,-14976.0,-6720.0,-64.0
0.1575,-14912.0,-6720.0,-64.0
0.16,-14912.0,-6784.0,-64.0
0.1625,-14976.0,-6848.0,0.0
0.165,-14976.0,-6912.0,-64.0
0.1675,-14976.0,-6848.0,0.0
0.17,-14976.0,-6784.0,-64.0
0.1725,-14912.0,-6784.0,-64.0
0.175,-14848.0,-6784.0,-64.0
0.1775,-14848.0,-6784.0,-64.0
0.18,-14912.0,-6848.0,-64.0
