time_stamp,acc_x,acc_y,acc_z
0.0,-14720.0,-7040.0,-256.0
0.0025,-14784.0,-7040.0,-320.0
0.005,-14784.0,-7040.0,-320.0
0.0075,-14784.0,-7104.0,-320.0
0.01,-14848.0,-7104.0,-384.0
0.0125,-14848.0,-7040.0,-320.0
0.015,-14784.0,-7040.0,-320.0
0.0175,-14784.0,-7040.0,-320.0
0.02,-14720.0,-7040.0,-384.0
0.0225,-14784.0,-7168.0,-320.0
0.025,-14784.0,-7104.0,-320.0
0.0275,-14848.0,-7040.0,-256.0
0.03,-14848.0,-7104.0,-256.0
0.0325,-14848.0,-7168.0,-256.0
0.035,-14784.0,-7168.0,-320.0
0.0375,-14848.0,-7104.0,-320.0
0.04,-14848.0,-7104.0,-256.0
0.0425,-14784.0,-7104.0,-256.0
0.045,-14784.0,-7104.0,-256.0
0.0475,-14784.0,-7168.0,-320.0
0.05,-14848.0,-7168.0,-256.0
0.0525,-14848.0,-7168.0,-256.0
0.055,-14848.0,-7232.0,-320.0
0.0575,-14784.0,-7168.0,-320.0
0.06,-14784.0,-7168.0,-320.0
0.0625,-14848.0,-7104.0,-320.0
0.065,-14848.0,-7104.0,-256.0
0.0675,-14784.0,-7168.0,-256.0
0.07,-14848.0,-7104.0,-256.0
0.0725,-14848.0,-7040.0,-256.0
0.075,-14912.0,-7040.0,-320.0
0.0775,-14848.0,-7104.0,-384.0
0.08,-14912.0,-7104.0,-256.0
0.0825,-14912.0,-7168.0,-320.0
0.085,-14912.0,-7232.0,-320.0
0.0875,-14912.0,-7168.0,-320.0
0.09,-14848.0,-7104.0,-384.0
0.0925,-14912.0,-7104.0,-320.0
0.095,-14848.0,-7168.0,-320.0
0.0975,-14912.0,-7104.0,-384.0
0.1,-14912.0,-7104.0,-320.0
0.1025,-14976.0,-7168.0,-384.0
0.105,-14976.0,-7168.0,-384.0
0.1075,-14976.0,-7232.0,-384.0
0.11,-14976.0,-7232.0,-384.0
0.1125,-14912.0,-7232.0,-320.0
0.115,-14912.0,-7232.0,-384.0
0.1175,-14912.0,-7232.0,-384.0
0.12,-14848.0,-7232.0,-320.0
0.1225,-14848.0,-7232.0,-320.0
0.125,-14848.0,-7168.0,-384.0
0.1275,-14848.0,-7104.0,-384.0
0.13,-14784.0,-7168.0,-384.0
0.1325,-14784.0,-7232.0,-384.0
