time_stamp,acc_x,acc_y,acc_z
0.0,-15296.0,-5312.0,-64.0
0.0025,-15232.0,-5312.0,-128.0
0.005,-15232.0,-5248.0,-64.0
0.0075,-15296.0,-5312.0,-64.0
0.01,-15232.0,-5312.0,-64.0
0.0125,-15232.0,-5248.0,-64.0
0.015,-15296.0,-5248.0,-128.0
0.0175,-15296.0,-5248.0,-128.0
0.02,-15296.0,-5248.0,-128.0
0.0225,-15296.0,-5184.0,-128.0
0.025,-15296.0,-5248.0,-128.0
0.0275,-15296.0,-5248.0,-128.0
0.03,-15360.0,-5184.0,-128.0
0.0325,-15360.0,-5312.0,-128.0
0.035,-15360.0,-5248.0,-192.0
0.0375,-15360.0,-5312.0,-128.0
0.04,-15360.0,-5312.0,-192.0
0.0425,-15424.0,-5312.0,-192.0
0.045,-15424.0,-5248.0,-192.0
0.0475,-15424.0,-5248.0,-192.0
0.05,-15488.0,-5312.0,-192.0
0.0525,-15552.0,-5312.0,-192.0
0.055,-15488.0,-5312.0,-192.0
0.0575,-15488.0,-5376.0,-256.0
0.06,-15488.0,-5376.0,-256.0
0.0625,-15488.0,-5376.0,-256.0
0.065,-15488.0,-5312.0,-256.0
0.0675,-15424.0,-5312.0,-256.0
0.07,-15424.0,-5376.0,-320.0
0.0725,-15488.0,-5440.0,-256.0
0.075,-15552.0,-5440.0,-320.0
0.0775,-15552.0,-5440.0,-320.0
0.08,-15616.0,-5504.0,-256.0
0.0825,-15552.0,-5440.0,-320.0
0.085,-15552.0,-5440.0,-256.0
0.0875,-15552.0,-5376.0,-320.0
0.09,-15552.0,-5376.0,-384.0
0.0925,-15552.0,-5440.0,-384.0
0.095,-15616.0,-5440.0,-384.0
0.0975,-15616.0,-5504.0,-320.0
0.1,-15552.0,-5504.0,-384.0
0.1025,-15552.0,-5504.0,-448.0
0.105,-15552.0,-5504.0,-384.0
0.1075,-15552.0,-5504.0,-448.0
0.11,-15552.0,-5504.0,-384.0
0.1125,-15552.0,-5504.0,-384.0
0.115,-15488.0,-5504.0,-384.0
0.1175,-15552.0,-5504.0,-384.0
0.12,-15488.0,-5568.0,-320.0
0.1225,-15424.0,-5504.0,-256.0
0.125,-15424.0,-5504.0,-384.0
0.1275,-15488.0,-5568.0,-384.0
0.13,-15424.0,-5568.0,-384.0
0.1325,-15488.0,-5504.0,-384.0
0.135,-15424.0,-5504.0,-320.0
0.1375,-15424.0,-5568.0,-320.0
0.14,-15424.0,-5568.0,-320.0
0.1425,-15424.0,-5504.0,-384.0
0.145,-15424.0,-5568.0,-448.0
0.1475,-15360.0,-5568.0,-320.0
0.15,-15424.0,-5568.0,-384.0
0.1525,-15424.0,-5632.0,-384.0
0.155,-15424.0,-5568.0,-320.0
0.1575,-15424.0,-5568.0,-384.0
0.16,-15424.0,-5568.0,-384.0
0.1625,-15424.0,-5632.0,-384.0
0.165,-15296.0,-5568.0,-384.0
0.1675,-15360.0,-5568.0,-320.0
0.17,-15360.0,-5568.0,-384.0
0.1725,-15296.0,-5568.0,-384.0
0.175,-15360.0,-5568.0,-384.0
0.1775,-15296.0,-5568.0,-384.0
0.18,-15296.0,-5568.0,-448.0
0.1825,-15296.0,-5568.0,-384.0
0.185,-15296.0,-5632.0,-384.0
0.1875,-15296.0,-5568.0,-384.0
0.19,-15360.0,-5568.0,-320.0
0.1925,-15296.0,-5568.0,-384.0
0.195,-15360.0,-5632.0,-320.0
0.1975,-15360.0,-5632.0,-448.0
0.2,-15424.0,-5696.0,-384.0
0.2025,-15488.0,-5632.0,-384.0
0.205,-15488.0,-5632.0,-384.0
0.2075,-15552.0,-5632.0,-320.0
0.21,-15552.0,-5696.0,-384.0
0.2125,-15552.0,-5632.0,-384.0
0.215,-15552.0,-5696.0,-320.0
0.2175,-15616.0,-5696.0,-384.0
0.22,-15616.0,-5632.0,-320.0
0.2225,-15616.0,-5696.0,-384.0
0.225,-15616.0,-5696.0,-384.0
0.2275,-15616.0,-5696.0,-320.0
0.23,-15552.0,-5696.0,-256.0
0.2325,-15552.0,-5696.0,-256.0
0.235,-15552.0,-5696.0,-320.0
0.2375,-15552.0,-5632.0,-320.0
0.24,-15616.0,-5696.0,-320.0
0.2425,-15552.0,-5696.0,-320.0
0.245,-15552.0,-5696.0,-256.0
0.2475,-15552.0,-5696.0,-256.0
