time_stamp,acc_x,acc_y,acc_z
0.0,-16128.0,-5504.0,0.0
0.0025,-16000.0,-5696.0,-128.0
0.005,-15936.0,-5696.0,-192.0
0.0075,-15936.0,-5760.0,-320.0
0.01,-15808.0,-5888.0,-384.0
0.0125,-15744.0,-5888.0,-384.0
0.015,-15680.0,-5824.0,-448.0
0.0175,-15616.0,-5696.0,-384.0
0.02,-15616.0,-5568.0,-384.0
0.0225,-15488.0,-5376.0,-320.0
0.025,-15488.0,-5184.0,-192.0
0.0275,-15488.0,-5056.0,-192.0
0.03,-15424.0,-4864.0,-128.0
0.0325,-15360.0,-4736.0,-128.0
0.035,-15296.0,-4672.0,-64.0
0.0375,-15232.0,-4544.0,-64.0
0.04,-15168.0,-4544.0,0.0
0.0425,-15168.0,-4608.0,0.0
0.045,-15040.0,-4672.0,-64.0
0.0475,-15040.0,-4800.0,-64.0
0.05,-14912.0,-4864.0,-192.0
0.0525,-14912.0,-4992.0,-192.0
0.055,-14848.0,-4992.0,-192.0
0.0575,-14912.0,-4992.0,-256.0
0.06,-14848.0,-4992.0,-256.0
0.0625,-14848.0,-5056.0,-256.0
0.065,-14848.0,-5120.0,-128.0
0.0675,-15104.0,-5184.0,-128.0
0.07,-14912.0,-5312.0,-256.0
0.0725,-14912.0,-5376.0,-256.0
0.075,-14976.0,-5504.0,-256.0
0.0775,-14976.0,-5760.0,-256.0
0.08,-15040.0,-6080.0,-320.0
0.0825,-15104.0,-6208.0,-512.0
0.085,-15104.0,-6208.0,-640.0
0.0875,-15168.0,-6208.0,-768.0
0.09,-15232.0,-6144.0,-960.0
0.0925,-15168.0,-6080.0,-960.0
0.095,-15168.0,-6080.0,-896.0
0.0975,-15040.0,-6144.0,-960.0
0.1,-15040.0,-6144.0,-1024.0
0.1025,-14976.0,-6208.0,-832.0
0.105,-15040.0,-6272.0,-704.0
0.1075,-15040.0,-6400.0,-576.0
0.11,-15104.0,-6464.0,-448.0
0.1125,-15168.0,-6464.0,-320.0
0.115,-15296.0,-6464.0,-192.0
0.1175,-15360.0,-6464.0,-64.0
0.12,-15424.0,-6464.0,-64.0
0.1225,-15424.0,-6400.0,64.0
0.125,-15424.0,-6400.0,64.0
0.1275,-15488.0,-6464.0,0.0
0.13,-15552.0,-6464.0,0.0
0.1325,-15616.0,-6400.0,0.0
0.135,-15616.0,-6400.0,-64.0
0.1375,-15616.0,-6272.0,0.0
0.14,-15616.0,-6208.0,-192.0
0.1425,-15616.0,-6208.0,-128.0
0.145,-15680.0,-5952.0,-192.0
0.1475,-15616.0,-5888.0,-192.0
0.15,-15616.0,-5952.0,-128.0
0.1525,-15616.0,-5952.0,-192.0
0.155,-15616.0,-5888.0,-256.0
0.1575,-15616.0,-5824.0,-256.0
0.16,-15616.0,-5888.0,-256.0
0.1625,-15680.0,-5888.0,-192.0
0.165,-15744.0,-5824.0,-128.0
0.1675,-15808.0,-5824.0,-128.0
0.17,-15872.0,-5696.0,-128.0
0.1725,-15872.0,-5696.0,-64.0
0.175,-15936.0,-5632.0,-128.0
0.1775,-15872.0,-5760.0,-64.0
0.18,-16000.0,-5760.0,0.0
0.1825,-15936.0,-5952.0,64.0
0.185,-16000.0,-5952.0,64.0
0.1875,-16128.0,-5888.0,128.0
0.19,-16320.0,-5568.0,256.0
0.1925,-16320.0,-5440.0,448.0
0.195,-16256.0,-5312.0,704.0
0.1975,-16256.0,-5184.0,832.0
0.2,-16192.0,-5120.0,896.0
0.2025,-16128.0,-5184.0,960.0
0.205,-16064.0,-5248.0,896.0
0.2075,-15936.0,-5312.0,832.0
0.21,-15936.0,-5248.0,768.0
0.2125,-15872.0,-5248.0,640.0
0.215,-15744.0,-5248.0,576.0
0.2175,-15680.0,-5184.0,448.0
0.22,-15552.0,-4992.0,512.0
0.2225,-15424.0,-4992.0,448.0
0.225,-15296.0,-4992.0,640.0
0.2275,-15232.0,-4864.0,640.0
0.23,-15104.0,-4800.0,704.0
0.2325,-15040.0,-4800.0,704.0
0.235,-14976.0,-4736.0,704.0
0.2375,-14912.0,-4864.0,768.0
0.24,-14784.0,-4736.0,960.0
0.2425,-14784.0,-4800.0,1152.0
0.245,-14592.0,-4864.0,1216.0
0.2475,-14464.0,-4864.0,1216.0
0.25,-14400.0,-4928.0,1216.0
0.2525,-14400.0,-5056.0,1344.0
0.255,-14336.0,-5120.0,1280.0
0.2575,-14336.0,-5248.0,1216.0
0.26,-14272.0,-5376.0,1088.0
0.2625,-14272.0,-5376.0,1088.0
0.265,-14208.0,-5504.0,960.0
0.2675,-14208.0,-5504.0,896.0
0.27,-14208.0,-5504.0,832.0
0.2725,-14336.0,-5504.0,768.0
0.275,-14272.0,-5504.0,768.0
0.2775,-14208.0,-5504.0,640.0
0.28,-14144.0,-5568.0,512.0
0.2825,-14144.0,-5440.0,448.0
0.285,-14080.0,-5440.0,448.0
0.2875,-14144.0,-5376.0,384.0
0.29,-14208.0,-5312.0,384.0
0.2925,-14144.0,-5376.0,256.0
0.295,-14144.0,-5440.0,64.0
0.2975,-14208.0,-5376.0,64.0
0.3,-14272.0,-5440.0,64.0
0.3025,-14336.0,-5376.0,128.0
0.305,-14400.0,-5248.0,128.0
0.3075,-14464.0,-5184.0,64.0
0.31,-14528.0,-5312.0,0.0
0.3125,-14592.0,-5120.0,0.0
0.315,-14656.0,-5120.0,-128.0
0.3175,-14656.0,-5056.0,-128.0
0.32,-14720.0,-5056.0,-128.0
0.3225,-14784.0,-5056.0,-192.0
0.325,-14848.0,-5056.0,-320.0
0.3275,-14912.0,-5056.0,-384.0
0.33,-14976.0,-5056.0,-448.0
0.3325,-15040.0,-5056.0,-448.0
0.335,-15104.0,-5056.0,-384.0
0.3375,-15168.0,-5056.0,-320.0
0.34,-15296.0,-5120.0,-320.0
0.3425,-15424.0,-5184.0,-192.0
0.345,-15488.0,-5184.0,-256.0
0.3475,-15552.0,-5184.0,-192.0
0.35,-15552.0,-5248.0,-256.0
0.3525,-15616.0,-5376.0,-192.0
0.355,-15552.0,-5376.0,-192.0
0.3575,-15488.0,-5440.0,-192.0
0.36,-15552.0,-5504.0,-256.0
0.3625,-15552.0,-5440.0,-192.0
0.365,-15488.0,-5568.0,-192.0
0.3675,-15424.0,-5632.0,-256.0
0.37,-15360.0,-5696.0,-320.0
0.3725,-15360.0,-5696.0,-320.0
0.375,-15360.0,-5760.0,-320.0
0.3775,-15296.0,-5824.0,-384.0
0.38,-15168.0,-5888.0,-384.0
0.3825,-15168.0,-5888.0,-384.0
0.385,-15104.0,-5888.0,-384.0
0.3875,-15104.0,-5952.0,-448.0
0.39,-15104.0,-5952.0,-320.0
0.3925,-15104.0,-5952.0,-384.0
0.395,-15104.0,-5952.0,-320.0
0.3975,-14976.0,-5952.0,-192.0
0.4,-14912.0,-6016.0,-128.0
0.4025,-14848.0,-6016.0,-64.0
