time_stamp,acc_x,acc_y,acc_z
0.0,-15552.0,-5632.0,-384.0
0.0025,-15552.0,-5568.0,-320.0
0.005,-15616.0,-5568.0,-320.0
0.0075,-15616.0,-5568.0,-320.0
0.01,-15680.0,-5504.0,-384.0
0.0125,-15616.0,-5568.0,-448.0
0.015,-15616.0,-5568.0,-448.0
0.0175,-15616.0,-5632.0,-448.0
0.02,-15744.0,-5632.0,-384.0
0.0225,-15680.0,-5632.0,-384.0
0.025,-15680.0,-5632.0,-448.0
0.0275,-15680.0,-5632.0,-448.0
0.03,-15616.0,-5568.0,-384.0
0.0325,-15616.0,-5632.0,-320.0
0.035,-15552.0,-5632.0,-320.0
0.0375,-15552.0,-5632.0,-256.0
0.04,-15552.0,-5568.0,-256.0
0.0425,-15552.0,-5568.0,-256.0
0.045,-15488.0,-5504.0,-256.0
0.0475,-15488.0,-5504.0,-320.0
0.05,-15488.0,-5504.0,-320.0
0.0525,-15488.0,-5504.0,-256.0
0.055,-15424.0,-5504.0,-192.0
0.0575,-15488.0,-5504.0,-256.0
0.06,-15424.0,-5504.0,-192.0
0.0625,-15488.0,-5504.0,-256.0
0.065,-15488.0,-5440.0,-256.0
0.0675,-15424.0,-5440.0,-320.0
0.07,-15424.0,-5504.0,-320.0
0.0725,-15424.0,-5440.0,-256.0
0.075,-15488.0,-5440.0,-320.0
0.0775,-15424.0,-5504.0,-256.0
0.08,-15424.0,-5504.0,-256.0
0.0825,-15424.0,-5440.0,-256.0
0.085,-15424.0,-5440.0,-256.0
0.0875,-15424.0,-5440.0,-256.0
0.09,-15424.0,-5440.0,-320.0
0.0925,-15424.0,-5440.0,-192.0
0.095,-15488.0,-5440.0,-256.0
0.0975,-15488.0,-5440.0,-256.0
0.1,-15424.0,-5440.0,-256.0
0.1025,-15424.0,-5504.0,-192.0
0.105,-15488.0,-5504.0,-256.0
0.1075,-15424.0,-5440.0,-256.0
0.11,-15488.0,-5440.0,-256.0
0.1125,-15488.0,-5440.0,-256.0
0.115,-15488.0,-5440.0,-256.0
0.1175,-15488.0,-5440.0,-256.0
0.12,-15488.0,-5440.0,-256.0
