time_stamp,acc_x,acc_y,acc_z
0.0,-11776.0,-9984.0,5760.0
0.0025,-11776.0,-9920.0,5696.0
0.005,-11776.0,-9984.0,5696.0
0.0075,-11776.0,-9984.0,5696.0
0.01,-11776.0,-9920.0,5696.0
0.0125,-11776.0,-9920.0,5696.0
0.015,-11776.0,-9984.0,5696.0
0.0175,-11840.0,-10048.0,5696.0
0.02,-11840.0,-9984.0,5696.0
0.0225,-11840.0,-10048.0,5632.0
0.025,-11840.0,-9984.0,5632.0
0.0275,-11840.0,-9984.0,5632.0
0.03,-11904.0,-9920.0,5696.0
0.0325,-11840.0,-9920.0,5696.0
0.035,-11840.0,-9920.0,5696.0
0.0375,-11904.0,-9920.0,5696.0
0.04,-11840.0,-9920.0,5696.0
0.0425,-11840.0,-9920.0,5760.0
0.045,-11840.0,-9920.0,5696.0
0.0475,-11840.0,-9856.0,5696.0
0.05,-11840.0,-9856.0,5632.0
0.0525,-11776.0,-9856.0,5632.0
0.055,-11840.0,-9856.0,5696.0
0.0575,-11840.0,-9856.0,5696.0
0.06,-11904.0,-9856.0,5632.0
0.0625,-11840.0,-9920.0,5568.0
0.065,-11776.0,-9920.0,5568.0
0.0675,-11776.0,-9856.0,5568.0
0.07,-11776.0,-9792.0,5568.0
0.0725,-11840.0,-9856.0,5632.0
0.075,-11840.0,-9856.0,5632.0
0.0775,-11712.0,-9856.0,5632.0
0.08,-11712.0,-9792.0,5696.0
0.0825,-11776.0,-9792.0,5632.0
0.085,-11840.0,-9792.0,5568.0
0.0875,-11840.0,-9856.0,5696.0
0.09,-11776.0,-9856.0,5632.0
0.0925,-11712.0,-9856.0,5696.0
0.095,-11776.0,-9856.0,5632.0
0.0975,-11776.0,-9856.0,5632.0
0.1,-11776.0,-9792.0,5568.0
0.1025,-11776.0,-9792.0,5632.0
0.105,-11776.0,-9792.0,5632.0
0.1075,-11776.0,-9792.0,5632.0
0.11,-11776.0,-9792.0,5696.0
0.1125,-11712.0,-9792.0,5632.0
0.115,-11776.0,-9792.0,5632.0
0.1175,-11776.0,-9792.0,5632.0
0.12,-11776.0,-9792.0,5568.0
0.1225,-11776.0,-9792.0,5568.0
0.125,-11776.0,-9856.0,5632.0
0.1275,-11776.0,-9856.0,5568.0
0.13,-11776.0,-9856.0,5568.0
0.1325,-11840.0,-9856.0,5568.0
0.135,-11840.0,-9856.0,5568.0
0.1375,-11840.0,-9920.0,5568.0
0.14,-11840.0,-9856.0,5568.0
0.1425,-11840.0,-9856.0,5504.0
0.145,-11840.0,-9856.0,5504.0
0.1475,-11840.0,-9856.0,5504.0
0.15,-11776.0,-9792.0,5568.0
0.1525,-11840.0,-9792.0,5568.0
0.155,-11840.0,-9728.0,5504.0
0.1575,-11840.0,-9792.0,5568.0
0.16,-11840.0,-9792.0,5632.0
0.1625,-11840.0,-9792.0,5632.0
0.165,-11776.0,-9856.0,5632.0
0.1675,-11840.0,-9792.0,5632.0
0.17,-11840.0,-9856.0,5632.0
0.1725,-11840.0,-9856.0,5632.0
0.175,-11840.0,-9856.0,5568.0
0.1775,-11840.0,-9856.0,5504.0
0.18,-11840.0,-9792.0,5504.0
0.1825,-11840.0,-9792.0,5568.0
0.185,-11776.0,-9792.0,5568.0
0.1875,-11776.0,-9792.0,5568.0
0.19,-11776.0,-9792.0,5440.0
0.1925,-11776.0,-9792.0,5504.0
0.195,-11776.0,-9728.0,5568.0
0.1975,-11776.0,-9792.0,5568.0
0.2,-11776.0,-9792.0,5504.0
0.2025,-11776.0,-9856.0,5504.0
0.205,-11776.0,-9792.0,5504.0
0.2075,-11840.0,-9792.0,5504.0
0.21,-11776.0,-9792.0,5504.0
0.2125,-11776.0,-9792.0,5504.0
