time_stamp,acc_x,acc_y,acc_z
0.0,-12544.0,-10176.0,4864.0
0.0025,-12480.0,-10176.0,4928.0
0.005,-12480.0,-10112.0,4928.0
0.0075,-12480.0,-10176.0,4864.0
0.01,-12480.0,-10176.0,4800.0
0.0125,-12480.0,-10176.0,4800.0
0.015,-12416.0,-10176.0,4800.0
0.0175,-12352.0,-10176.0,4928.0
0.02,-12416.0,-10112.0,4928.0
0.0225,-12352.0,-10048.0,4928.0
0.025,-12352.0,-10112.0,4928.0
0.0275,-12352.0,-10112.0,4928.0
0.03,-12352.0,-10176.0,4992.0
0.0325,-12352.0,-10112.0,4992.0
0.035,-12352.0,-10112.0,5056.0
0.0375,-12416.0,-10112.0,4992.0
0.04,-12352.0,-10112.0,4928.0
0.0425,-12352.0,-10176.0,4928.0
0.045,-12288.0,-10112.0,4928.0
0.0475,-12224.0,-10112.0,4992.0
0.05,-12224.0,-10112.0,4864.0
0.0525,-12224.0,-10112.0,4800.0
0.055,-12224.0,-10112.0,4800.0
0.0575,-12224.0,-10112.0,4864.0
0.06,-12224.0,-10112.0,4864.0
0.0625,-12224.0,-10112.0,4864.0
0.065,-12224.0,-10112.0,4864.0
0.0675,-12224.0,-10112.0,4928.0
0.07,-12288.0,-10112.0,4928.0
0.0725,-12224.0,-10176.0,4864.0
0.075,-12224.0,-10176.0,4864.0
0.0775,-12288.0,-10112.0,4928.0
0.08,-12160.0,-10176.0,4928.0
0.0825,-12160.0,-10176.0,4928.0
0.085,-12224.0,-10176.0,4800.0
0.0875,-12160.0,-10176.0,4864.0
0.09,-12160.0,-10240.0,4864.0
0.0925,-12096.0,-10240.0,4864.0
0.095,-12096.0,-10240.0,4864.0
0.0975,-12096.0,-10240.0,4864.0
0.1,-12096.0,-10176.0,4992.0
0.1025,-12032.0,-10240.0,4992.0
0.105,-12096.0,-10240.0,4928.0
0.1075,-12096.0,-10304.0,4992.0
0.11,-12096.0,-10240.0,4992.0
0.1125,-12096.0,-10240.0,5056.0
0.115,-12096.0,-10176.0,4992.0
0.1175,-12096.0,-10176.0,4992.0
0.12,-12032.0,-10112.0,5056.0
0.1225,-12032.0,-10112.0,4992.0
0.125,-11904.0,-10176.0,5056.0
0.1275,-11968.0,-10176.0,4992.0
0.13,-11904.0,-10176.0,5056.0
0.1325,-11904.0,-10176.0,5056.0
0.135,-11840.0,-10304.0,5120.0
0.1375,-11904.0,-10304.0,5120.0
0.14,-11904.0,-10240.0,5184.0
0.1425,-11904.0,-10176.0,5184.0
0.145,-11840.0,-10112.0,5184.0
0.1475,-11904.0,-9984.0,5248.0
0.15,-11904.0,-10048.0,5248.0
0.1525,-11968.0,-10112.0,5184.0
0.155,-11904.0,-10048.0,5120.0
0.1575,-11968.0,-10048.0,5120.0
0.16,-11904.0,-10048.0,5120.0
0.1625,-11840.0,-10048.0,5056.0
0.165,-11840.0,-9984.0,5056.0
0.1675,-11904.0,-10048.0,5120.0
0.17,-11904.0,-10112.0,5120.0
0.1725,-11968.0,-10112.0,5120.0
0.175,-11968.0,-10176.0,5120.0
0.1775,-11968.0,-10112.0,5056.0
0.18,-11968.0,-10176.0,5056.0
0.1825,-11904.0,-10240.0,5056.0
0.185,-11904.0,-10240.0,5056.0
0.1875,-11904.0,-10240.0,4992.0
0.19,-11904.0,-10240.0,4928.0
0.1925,-11904.0,-10176.0,4992.0
0.195,-11840.0,-10176.0,4992.0
0.1975,-11840.0,-10176.0,4992.0
0.2,-11776.0,-10176.0,4992.0
0.2025,-11840.0,-10176.0,5120.0
0.205,-11904.0,-10240.0,5056.0
0.2075,-11840.0,-10176.0,5120.0
0.21,-11840.0,-10112.0,5120.0
0.2125,-11840.0,-10112.0,5056.0
0.215,-11776.0,-10112.0,5056.0
0.2175,-11776.0,-10048.0,5056.0
0.22,-11776.0,-10112.0,5184.0
0.2225,-11776.0,-10112.0,5120.0
0.225,-11776.0,-10112.0,5184.0
0.2275,-11840.0,-10240.0,5248.0
0.23,-11776.0,-10176.0,5312.0
0.2325,-11840.0,-10240.0,5312.0
0.235,-11840.0,-10240.0,5312.0
0.2375,-11840.0,-10304.0,5248.0
0.24,-11776.0,-10240.0,5248.0
0.2425,-11776.0,-10304.0,5248.0
0.245,-11712.0,-10240.0,5248.0
0.2475,-11712.0,-10176.0,5248.0
0.25,-11712.0,-10240.0,5376.0
0.2525,-11712.0,-10176.0,5440.0
0.255,-11648.0,-10176.0,5440.0
0.2575,-11648.0,-10112.0,5376.0
0.26,-11584.0,-10112.0,5440.0
0.2625,-11584.0,-10048.0,5376.0
0.265,-11520.0,-10048.0,5312.0
0.2675,-11520.0,-10048.0,5312.0
0.27,-11520.0,-9984.0,5312.0
0.2725,-11520.0,-9984.0,5312.0
0.275,-11520.0,-9984.0,5248.0
0.2775,-11520.0,-10048.0,5248.0
0.28,-11584.0,-10048.0,5184.0
0.2825,-11584.0,-10048.0,5248.0
0.285,-11584.0,-9984.0,5312.0
0.2875,-11584.0,-10112.0,5248.0
0.29,-11584.0,-10112.0,5312.0
0.2925,-11584.0,-10112.0,5312.0
0.295,-11584.0,-10048.0,5376.0
0.2975,-11584.0,-10048.0,5376.0
0.3,-11584.0,-10048.0,5376.0
0.3025,-11584.0,-10048.0,5312.0
0.305,-11584.0,-9984.0,5312.0
0.3075,-11648.0,-9984.0,5312.0
