time_stamp,acc_x,acc_y,acc_z
0.0,15552.0,1408.0,-512.0
0.0025,15616.0,1408.0,-512.0
0.005,15552.0,1408.0,-512.0
0.0075,15552.0,1408.0,-448.0
0.01,15552.0,1472.0,-448.0
0.0125,15488.0,1472.0,-384.0
0.015,15552.0,1472.0,-384.0
0.0175,15488.0,1472.0,-384.0
0.02,15488.0,1472.0,-512.0
0.0225,15488.0,1472.0,-448.0
0.025,15488.0,1472.0,-512.0
0.0275,15360.0,1408.0,-448.0
0.03,15360.0,1408.0,-448.0
0.0325,15424.0,1408.0,-448.0
0.035,15360.0,1408.0,-448.0
0.0375,15360.0,1408.0,-448.0
0.04,15424.0,1344.0,-448.0
0.0425,15424.0,1408.0,-448.0
0.045,15360.0,1408.0,-448.0
0.0475,15360.0,1344.0,-448.0
0.05,15360.0,1408.0,-384.0
0.0525,15424.0,1408.0,-384.0
0.055,15424.0,1408.0,-384.0
0.0575,15424.0,1408.0,-384.0
0.06,15360.0,1472.0,-384.0
0.0625,15424.0,1472.0,-384.0
0.065,15424.0,1472.0,-384.0
0.0675,15424.0,1472.0,-320.0
0.07,15424.0,1472.0,-320.0
0.0725,15424.0,1408.0,-320.0
0.075,15424.0,1472.0,-320.0
0.0775,15360.0,1472.0,-320.0
0.08,15360.0,1408.0,-384.0
0.0825,15424.0,1408.0,-256.0
0.085,15424.0,1472.0,-320.0
0.0875,15360.0,1472.0,-384.0
0.09,15424.0,1408.0,-384.0
0.0925,15424.0,1408.0,-448.0
0.095,15424.0,1472.0,-384.0
0.0975,15424.0,1472.0,-384.0
0.1,15488.0,1408.0,-320.0
0.1025,15424.0,1408.0,-320.0
0.105,15424.0,1344.0,-448.0
0.1075,15488.0,1408.0,-448.0
0.11,15488.0,1408.0,-448.0
0.1125,15424.0,1344.0,-448.0
0.115,15488.0,1408.0,-448.0
0.1175,15424.0,1408.0,-448.0
0.12,15488.0,1344.0,-512.0
0.1225,15424.0,1408.0,-448.0
0.125,15488.0,1408.0,-448.0
0.1275,15488.0,1408.0,-448.0
0.13,15488.0,1408.0,-384.0
0.1325,15424.0,1408.0,-384.0
0.135,15488.0,1408.0,-448.0
0.1375,15552.0,1472.0,-384.0
0.14,15488.0,1536.0,-448.0
0.1425,15424.0,1536.0,-448.0
0.145,15424.0,1536.0,-448.0
