time_stamp,acc_x,acc_y,acc_z
0.0,-3328.0,-9280.0,-12736.0
0.0025,-3328.0,-9280.0,-12864.0
0.005,-3264.0,-9344.0,-12800.0
0.0075,-3264.0,-9280.0,-12864.0
0.01,-3328.0,-9344.0,-12928.0
0.0125,-3328.0,-9344.0,-12864.0
0.015,-3264.0,-9344.0,-12864.0
0.0175,-3264.0,-9408.0,-12864.0
0.02,-3264.0,-9344.0,-12928.0
0.0225,-3328.0,-9344.0,-12992.0
0.025,-3392.0,-9408.0,-12992.0
0.0275,-3328.0,-9408.0,-12928.0
0.03,-3328.0,-9408.0,-12928.0
0.0325,-3264.0,-9408.0,-12928.0
0.035,-3328.0,-9408.0,-12864.0
0.0375,-3328.0,-9344.0,-12864.0
0.04,-3264.0,-9408.0,-12864.0
0.0425,-3328.0,-9344.0,-12800.0
0.045,-3328.0,-9344.0,-12800.0
0.0475,-3264.0,-9408.0,-12864.0
0.05,-3328.0,-9280.0,-12864.0
0.0525,-3264.0,-9280.0,-12864.0
0.055,-3264.0,-9344.0,-12800.0
0.0575,-3264.0,-9344.0,-12864.0
0.06,-3200.0,-9344.0,-12864.0
0.0625,-3136.0,-9344.0,-12864.0
0.065,-3136.0,-9280.0,-12864.0
0.0675,-3136.0,-9216.0,-12800.0
0.07,-3136.0,-9280.0,-12800.0
0.0725,-3072.0,-9216.0,-12736.0
0.075,-3072.0,-9152.0,-12800.0
0.0775,-3008.0,-9152.0,-12800.0
0.08,-3072.0,-9088.0,-12736.0
0.0825,-3072.0,-9152.0,-12736.0
0.085,-3072.0,-9152.0,-12800.0
0.0875,-3072.0,-9152.0,-12864.0
0.09,-3072.0,-9216.0,-12800.0
0.0925,-3008.0,-9152.0,-12864.0
0.095,-3072.0,-9152.0,-12800.0
0.0975,-3072.0,-9216.0,-12800.0
0.1,-3008.0,-9216.0,-12736.0
0.1025,-3072.0,-9152.0,-12672.0
0.105,-3072.0,-9152.0,-12672.0
0.1075,-3008.0,-9152.0,-12608.0
0.11,-3072.0,-9088.0,-12672.0
0.1125,-3072.0,-9088.0,-12608.0
0.115,-3008.0,-9024.0,-12608.0
0.1175,-3136.0,-9024.0,-12608.0
0.12,-3072.0,-9024.0,-12544.0
0.1225,-3008.0,-8960.0,-12544.0
0.125,-3008.0,-9024.0,-12544.0
0.1275,-3072.0,-9024.0,-12544.0
0.13,-3072.0,-9024.0,-12480.0
0.1325,-3072.0,-8960.0,-12480.0
0.135,-3008.0,-9024.0,-12544.0
0.1375,-3072.0,-8960.0,-12480.0
0.14,-3072.0,-8960.0,-12544.0
0.1425,-3008.0,-8960.0,-12480.0
0.145,-3072.0,-9088.0,-12480.0
0.1475,-3008.0,-9088.0,-12480.0
0.15,-3008.0,-8960.0,-12544.0
0.1525,-3008.0,-8960.0,-12608.0
0.155,-3008.0,-8960.0,-12544.0
0.1575,-3008.0,-8960.0,-12544.0
0.16,-3008.0,-9024.0,-12544.0
0.1625,-3008.0,-9024.0,-12672.0
0.165,-3008.0,-9024.0,-12608.0
0.1675,-3008.0,-8960.0,-12608.0
0.17,-3072.0,-8960.0,-12672.0
0.1725,-3072.0,-9024.0,-12736.0
0.175,-3136.0,-9088.0,-12672.0
